gene_id	string_protein_id	propagate_score
ARF5	9606.ENSP00000000233	7.024317693213992e-05
SPTBN2	9606.ENSP00000432568	0.00013112107966601518
KIF13B	9606.ENSP00000427900	4.3273418738498815e-05
AP1B1	9606.ENSP00000350199	8.744723547805222e-05
KIF21A	9606.ENSP00000354878	4.3236238476664927e-05
TMED7	9606.ENSP00000405926	8.684158431297831e-05
ARFGAP1	9606.ENSP00000314615	8.461681106684303e-05
ANK2	9606.ENSP00000349588	7.724699542478614e-05
KLC1	9606.ENSP00000414982	9.900779101168733e-05
COPZ2	9606.ENSP00000480707	8.629694634581545e-05
KIF15	9606.ENSP00000324020	0.00012827463397325264
DCTN5	9606.ENSP00000300087	0.00010937895331829543
KIF2B	9606.ENSP00000268919	0.00018037281670763887
KIF16B	9606.ENSP00000384164	3.8900774698601036e-05
KIF25	9606.ENSP00000388878	3.993172696720509e-05
KDELR2	9606.ENSP00000258739	8.492774850962582e-05
RAB1B	9606.ENSP00000310226	0.00013779122506900305
TMED10	9606.ENSP00000303145	0.00011053757210643031
KIF3B	9606.ENSP00000364864	9.743124253394595e-05
RACGAP1	9606.ENSP00000404190	0.00014908932726971101
SPTBN4	9606.ENSP00000263373	8.245662007249316e-05
GBF1	9606.ENSP00000359000	7.076418583837107e-05
DYNC1I2	9606.ENSP00000380308	0.0002539015831878405
INS	9606.ENSP00000380432	0.0006063154594128502
CYTH3	9606.ENSP00000297044	1.9238706692229913e-05
CAPZB	9606.ENSP00000401010	0.00012857494313863808
RAB11FIP3	9606.ENSP00000262305	1.9486077943500652e-05
ACAP2	9606.ENSP00000324287	3.1513496384011405e-06
KIF3C	9606.ENSP00000264712	9.514337068815364e-05
DYNC1LI1	9606.ENSP00000273130	0.00021171919591585474
KIFAP3	9606.ENSP00000354560	9.790440375932201e-05
COPA	9606.ENSP00000357048	0.00010842516485741806
YKT6	9606.ENSP00000223369	0.00010223869633386876
COPB1	9606.ENSP00000249923	0.00020428000900256336
IQSEC1	9606.ENSP00000480301	1.1758710530720357e-05
KIF20A	9606.ENSP00000378356	0.00013828524174828923
SURF4	9606.ENSP00000361057	9.850579751103755e-05
GGA1	9606.ENSP00000341344	3.0484392774094158e-05
CDC5L	9606.ENSP00000360532	0.00034469875526713675
DYNC1I1	9606.ENSP00000320130	0.00021332783548576168
RAB1A	9606.ENSP00000387286	0.00013865460639958868
ACTR1A	9606.ENSP00000358921	0.00016140287050873465
CAPZA2	9606.ENSP00000354947	0.00013592023780504913
CAPZA1	9606.ENSP00000263168	0.00014562121355205545
CD59	9606.ENSP00000379191	0.00028474315458408615
SPTBN5	9606.ENSP00000317790	8.14095328342478e-05
FOLR1	9606.ENSP00000377284	7.36754278127417e-05
USO1	9606.ENSP00000444850	7.433537174420844e-05
CENPE	9606.ENSP00000265148	0.0002125868120894064
