gene_id	string_protein_id	propagate_score
ARF5	9606.ENSP00000000233	0.00013712836181633384
SPTBN2	9606.ENSP00000432568	0.0003239360222729275
KIF13B	9606.ENSP00000427900	8.87621740843782e-05
AP1B1	9606.ENSP00000350199	0.00025218708753971735
KIF21A	9606.ENSP00000354878	9.013400250715442e-05
TMED7	9606.ENSP00000405926	0.00017625859369090378
ARFGAP1	9606.ENSP00000314615	0.00016466070460508019
ANK2	9606.ENSP00000349588	0.00010849158495548978
KLC1	9606.ENSP00000414982	0.00030004568577865124
COPZ2	9606.ENSP00000480707	0.00017575749507679373
KIF15	9606.ENSP00000324020	0.0003253363188039396
DCTN5	9606.ENSP00000300087	0.0003009196624158288
KIF2B	9606.ENSP00000268919	0.00035212487996294533
KIF16B	9606.ENSP00000384164	8.536938323152593e-05
KIF25	9606.ENSP00000388878	8.656195985022336e-05
KDELR2	9606.ENSP00000258739	0.0001620010920614775
RAB1B	9606.ENSP00000310226	0.00023251570850980237
TMED10	9606.ENSP00000303145	0.00019913174740046445
KIF3B	9606.ENSP00000364864	0.0002958552351676347
RACGAP1	9606.ENSP00000404190	0.00034338076483049707
SPTBN4	9606.ENSP00000263373	0.0001215204713819358
GBF1	9606.ENSP00000359000	0.00013447365378743483
DYNC1I2	9606.ENSP00000380308	0.00042974245543224887
INS	9606.ENSP00000380432	0.0006840152108626618
CYTH3	9606.ENSP00000297044	1.761785291959235e-05
CAPZB	9606.ENSP00000401010	0.00032578212000133834
RAB11FIP3	9606.ENSP00000262305	2.000288860892586e-05
ACAP2	9606.ENSP00000324287	2.6126268416662503e-06
KIF3C	9606.ENSP00000264712	0.0002933047777272209
DYNC1LI1	9606.ENSP00000273130	0.00039083627884934984
KIFAP3	9606.ENSP00000354560	0.00029646324678357487
COPA	9606.ENSP00000357048	0.00021569916386134251
YKT6	9606.ENSP00000223369	0.00016582002390367828
COPB1	9606.ENSP00000249923	0.00030101137472048235
IQSEC1	9606.ENSP00000480301	2.1196224076508804e-05
KIF20A	9606.ENSP00000378356	0.0003518749880562091
SURF4	9606.ENSP00000361057	0.00017697809503178263
GGA1	9606.ENSP00000341344	3.317554305266023e-05
CDC5L	9606.ENSP00000360532	0.00031860552734258406
DYNC1I1	9606.ENSP00000320130	0.0003898423171992129
RAB1A	9606.ENSP00000387286	0.00023574160119776855
ACTR1A	9606.ENSP00000358921	0.0003531840924070837
CAPZA2	9606.ENSP00000354947	0.0003118309460841192
CAPZA1	9606.ENSP00000263168	0.0003241929321085025
CD59	9606.ENSP00000379191	0.00032162110878882394
SPTBN5	9606.ENSP00000317790	0.0001208270657597918
FOLR1	9606.ENSP00000377284	0.00012741854653195301
USO1	9606.ENSP00000444850	0.00012719022664114046
CENPE	9606.ENSP00000265148	0.00039056232936895773
KIFC1	9606.ENSP00000393963	0.00011879523183684473
KIF9	9606.ENSP00000333942	0.0001015026854342088
KIF4A	9606.ENSP00000363524	0.0003402915324093275
KIF27	9606.ENSP00000297814	8.776892534633099e-05
ARF1	9606.ENSP00000440005	0.0003999295001884252
ARF3	9606.ENSP00000256682	0.0001433425802619515
KLC2	9606.ENSP00000399403	0.00028772915653178566
KIF21B	9606.ENSP00000411831	9.053667710225612e-05
DCTN4	9606.ENSP00000414906	0.00029529952011919506
KIF6	9606.ENSP00000287152	8.579725451759024e-05
KIF18B	9606.ENSP00000465992	0.00010425851930645772
KIF1A	9606.ENSP00000438388	9.480417631672433e-05
KIF26A	9606.ENSP00000388241	0.00027115266588375475
KIF5A	9606.ENSP00000408979	0.00029025767395632015
TMED3	9606.ENSP00000299705	0.00017705468354304254
ACTR10	9606.ENSP00000254286	0.00035146421272168825
KIF20B	9606.ENSP00000360793	0.00010233139627408656
DYNC1LI2	9606.ENSP00000258198	0.0003910680655634579
ARFIP2	9606.ENSP00000484121	1.3268108446286494e-05
TMED9	9606.ENSP00000330945	0.00014536337581072845
ANK1	9606.ENSP00000265709	0.0001192970219264937
ARF4	9606.ENSP00000306010	0.00014187247880478626
ASAP2	9606.ENSP00000281419	2.6372480268926727e-05
CD55	9606.ENSP00000356030	8.821802594472848e-05
SPTAN1	9606.ENSP00000361824	0.0002494506191420031
RAB11A	9606.ENSP00000261890	0.00014119620489515378
KIF4B	9606.ENSP00000387875	0.00029670999191450364
KIF18A	9606.ENSP00000263181	0.0003662414638272371
KLC3	9606.ENSP00000375810	0.00028078846930464947
DCTN3	9606.ENSP00000259632	0.0003505380867942989
KIF19	9606.ENSP00000374566	8.536938323152594e-05
KIF23	9606.ENSP00000260363	0.0003319322548240438
BET1	9606.ENSP00000222547	0.00013519436056378772
KDELR1	9606.ENSP00000329471	0.00016737275675401486
ANK3	9606.ENSP00000280772	0.00010424254588307555
DYNC1H1	9606.ENSP00000348965	0.0005062714111770301
SPTBN1	9606.ENSP00000349259	0.00013108724558806914
KIF5B	9606.ENSP00000307078	0.00038720813761183767
COPB2	9606.ENSP00000329419	0.00018230244034737108
DCTN6	9606.ENSP00000221114	0.00030577006432650134
ASAP1	9606.ENSP00000429900	3.922400493919293e-05
DCTN2	9606.ENSP00000408910	0.0003771255992608553
KIF11	9606.ENSP00000260731	0.0003785396056716379
TMED2	9606.ENSP00000262225	0.00019053390050550705
CYTH1	9606.ENSP00000354398	1.3955035966477483e-05
KIF2C	9606.ENSP00000361298	0.00040267236045003654
ARCN1	9606.ENSP00000264028	0.00017912486087508513
KIF1C	9606.ENSP00000320821	8.91691908892529e-05
DYNLL2	9606.ENSP00000477310	0.0004297384028923387
KIF1B	9606.ENSP00000263934	8.710063155904527e-05
SPTB	9606.ENSP00000451752	0.0001213489418448475
COPG2	9606.ENSP00000402346	0.00018547358022160572
KIFC2	9606.ENSP00000301332	8.592467323852427e-05
COPG1	9606.ENSP00000325002	0.00018618049590025438
ARFIP1	9606.ENSP00000395083	1.1728505658352111e-05
KIF26B	9606.ENSP00000385545	8.706328385908096e-05
CAPZA3	9606.ENSP00000326238	0.0002925100097678283
ACAP1	9606.ENSP00000158762	1.520624594900629e-05
RAB11FIP4	9606.ENSP00000482620	8.255808151608157e-06
DYNLL1	9606.ENSP00000376297	0.0005906767612515461
ARFGAP2	9606.ENSP00000434442	0.00012626407509757864
KIF2A	9606.ENSP00000385000	0.0003604616905774879
KIF22	9606.ENSP00000160827	0.00030073071592576033
KIF12	9606.ENSP00000363232	8.536938323152594e-05
SEC22B	9606.ENSP00000463393	0.00017261379369033016
KLC4	9606.ENSP00000259708	0.0002785079071306808
ARFGAP3	9606.ENSP00000263245	0.0001364263761809103
ETFA	9606.ENSP00000452762	1.691391802532247e-05
KDELR3	9606.ENSP00000386918	0.00015628563805736339
SPTA1	9606.ENSP00000357129	0.00012312937904694984
AP1G1	9606.ENSP00000377148	0.0002571278700697786
KIF3A	9606.ENSP00000385808	0.0003017446123835597
COPZ1	9606.ENSP00000449270	0.0001784972091434737
COPE	9606.ENSP00000262812	0.00018156879228648187
DCTN1	9606.ENSP00000354791	0.0003382597624486301
M6PR	9606.ENSP00000000412	0.00022306263720287914
LDLRAP1	9606.ENSP00000363458	0.0001931115490332455
SH3GL2	9606.ENSP00000369981	0.00040406517591230626
STX10	9606.ENSP00000466298	3.748270859571456e-05
GCC2	9606.ENSP00000307939	3.266375868717999e-05
SYNJ2	9606.ENSP00000347792	0.0002482174123087682
