gene_id	string_protein_id	propagate_score
ARF5	9606.ENSP00000000233	0.0001869623317894353
SPTBN2	9606.ENSP00000432568	0.00046830551565292387
KIF13B	9606.ENSP00000427900	0.00012344995110508678
AP1B1	9606.ENSP00000350199	0.00038634192649875104
KIF21A	9606.ENSP00000354878	0.00012478112739538287
TMED7	9606.ENSP00000405926	0.0002455315958334074
ARFGAP1	9606.ENSP00000314615	0.0002177577771232388
ANK2	9606.ENSP00000349588	0.00013745252988977977
KLC1	9606.ENSP00000414982	0.0004502400769469385
COPZ2	9606.ENSP00000480707	0.00024499628295724724
KIF15	9606.ENSP00000324020	0.0004749785404696308
DCTN5	9606.ENSP00000300087	0.00045746025219670707
KIF2B	9606.ENSP00000268919	0.0004864738356792411
KIF16B	9606.ENSP00000384164	0.00012007670778952604
KIF25	9606.ENSP00000388878	0.00012122908261905393
KDELR2	9606.ENSP00000258739	0.00021573268329094035
RAB1B	9606.ENSP00000310226	0.00030464982740337486
TMED10	9606.ENSP00000303145	0.00026661203745487395
KIF3B	9606.ENSP00000364864	0.00045738578570321087
RACGAP1	9606.ENSP00000404190	0.0004885718341391766
SPTBN4	9606.ENSP00000263373	0.00013881319784484505
GBF1	9606.ENSP00000359000	0.0001833777607382063
DYNC1I2	9606.ENSP00000380308	0.0005656535668374469
INS	9606.ENSP00000380432	0.000647041694656813
CYTH3	9606.ENSP00000297044	1.939476915869252e-05
CAPZB	9606.ENSP00000401010	0.0004892616509147024
RAB11FIP3	9606.ENSP00000262305	2.0246164702118814e-05
ACAP2	9606.ENSP00000324287	3.0983994854393636e-06
KIF3C	9606.ENSP00000264712	0.00045481375984185793
DYNC1LI1	9606.ENSP00000273130	0.0005278245259622852
KIFAP3	9606.ENSP00000354560	0.00045806830549482205
COPA	9606.ENSP00000357048	0.0002979416739459721
YKT6	9606.ENSP00000223369	0.00021434443001087773
COPB1	9606.ENSP00000249923	0.00032800097995155496
IQSEC1	9606.ENSP00000480301	1.937726335551452e-05
KIF20A	9606.ENSP00000378356	0.000486235980476905
SURF4	9606.ENSP00000361057	0.00018226836185978438
GGA1	9606.ENSP00000341344	3.9940636586387106e-05
CDC5L	9606.ENSP00000360532	0.00028237179195611284
DYNC1I1	9606.ENSP00000320130	0.0005262447739072864
RAB1A	9606.ENSP00000387286	0.0003078889815739404
ACTR1A	9606.ENSP00000358921	0.000510255956334441
CAPZA2	9606.ENSP00000354947	0.00046843868580160724
CAPZA1	9606.ENSP00000263168	0.00048285535812527165
CD59	9606.ENSP00000379191	0.0002914203595207965
SPTBN5	9606.ENSP00000317790	0.00013851766837734634
FOLR1	9606.ENSP00000377284	0.00016985101154474722
USO1	9606.ENSP00000444850	0.0001684182576869309
CENPE	9606.ENSP00000265148	0.0005211910823016453
KIFC1	9606.ENSP00000393963	0.00015003139566169686
KIF9	9606.ENSP00000333942	0.00013829353404155252
KIF4A	9606.ENSP00000363524	0.0004966444467519041
KIF27	9606.ENSP00000297814	0.00012233090924066925
ARF1	9606.ENSP00000440005	0.0005819201710171295
ARF3	9606.ENSP00000256682	0.00019631810261960383
KLC2	9606.ENSP00000399403	0.00044384528346432786
KIF21B	9606.ENSP00000411831	0.00012757588468520557
DCTN4	9606.ENSP00000414906	0.0004503592066275361
KIF6	9606.ENSP00000287152	0.00012041477391340821
KIF18B	9606.ENSP00000465992	0.00013701193927503338
KIF1A	9606.ENSP00000438388	0.00012923896018034663
KIF26A	9606.ENSP00000388241	0.0004262747461334125
