gene_id	string_protein_id	propagate_score
ARF5	9606.ENSP00000000233	0.00010368576937423687
SPTBN2	9606.ENSP00000432568	0.00022752855096947142
KIF13B	9606.ENSP00000427900	6.60177964114385e-05
AP1B1	9606.ENSP00000350199	0.0001698171615088848
KIF21A	9606.ENSP00000354878	6.668512049190965e-05
TMED7	9606.ENSP00000405926	0.00013155008900194102
ARFGAP1	9606.ENSP00000314615	0.0001246387578359616
ANK2	9606.ENSP00000349588	9.286929019013793e-05
KLC1	9606.ENSP00000414982	0.00019952673839516936
COPZ2	9606.ENSP00000480707	0.00013102722071130457
KIF15	9606.ENSP00000324020	0.0002268054763885962
DCTN5	9606.ENSP00000300087	0.00020514930786706207
KIF2B	9606.ENSP00000268919	0.00026624884833529195
KIF16B	9606.ENSP00000384164	6.213507896506348e-05
KIF25	9606.ENSP00000388878	6.324684340871422e-05
KDELR2	9606.ENSP00000258739	0.00012346442028555172
RAB1B	9606.ENSP00000310226	0.00018515346678940264
TMED10	9606.ENSP00000303145	0.00015483465975344728
KIF3B	9606.ENSP00000364864	0.00019664323885079044
RACGAP1	9606.ENSP00000404190	0.0002462350460501042
SPTBN4	9606.ENSP00000263373	0.00010198854572721449
GBF1	9606.ENSP00000359000	0.00010261891981290294
DYNC1I2	9606.ENSP00000380308	0.00034182201931004427
INS	9606.ENSP00000380432	0.0006451653351377554
CYTH3	9606.ENSP00000297044	1.842827980591111e-05
CAPZB	9606.ENSP00000401010	0.00022717853156998817
RAB11FIP3	9606.ENSP00000262305	1.974448327621325e-05
ACAP2	9606.ENSP00000324287	2.8819882400336948e-06
KIF3C	9606.ENSP00000264712	0.0001942240742076874
DYNC1LI1	9606.ENSP00000273130	0.0003012777373826022
KIFAP3	9606.ENSP00000354560	0.00019718382527144854
COPA	9606.ENSP00000357048	0.0001620621643593803
YKT6	9606.ENSP00000223369	0.00013402936011877353
COPB1	9606.ENSP00000249923	0.00025264569186152295
IQSEC1	9606.ENSP00000480301	1.6477467303614578e-05
KIF20A	9606.ENSP00000378356	0.0002450801149022491
SURF4	9606.ENSP00000361057	0.00013774194627141011
GGA1	9606.ENSP00000341344	3.182996791337719e-05
CDC5L	9606.ENSP00000360532	0.00033165214130486043
DYNC1I1	9606.ENSP00000320130	0.0003015850763424872
RAB1A	9606.ENSP00000387286	0.00018719810379867852
ACTR1A	9606.ENSP00000358921	0.00025729348145790915
CAPZA2	9606.ENSP00000354947	0.0002238755919445842
CAPZA1	9606.ENSP00000263168	0.000234907072830279
CD59	9606.ENSP00000379191	0.0003031821316864551
SPTBN5	9606.ENSP00000317790	0.0001011182992970198
FOLR1	9606.ENSP00000377284	0.00010054698717234736
USO1	9606.ENSP00000444850	0.00010076279919267449
CENPE	9606.ENSP00000265148	0.00030157457072918194
KIFC1	9606.ENSP00000393963	9.459768403909768e-05
KIF9	9606.ENSP00000333942	7.779760843962449e-05
KIF4A	9606.ENSP00000363524	0.00023871262214960728
KIF27	9606.ENSP00000297814	6.458500630187293e-05
ARF1	9606.ENSP00000440005	0.00028577447001125456
ARF3	9606.ENSP00000256682	0.00010810229503916965
KLC2	9606.ENSP00000399403	0.0001900638779397769
KIF21B	9606.ENSP00000411831	6.568159981816444e-05
DCTN4	9606.ENSP00000414906	0.00019848507214324925
KIF6	9606.ENSP00000287152	6.255622141998696e-05
KIF18B	9606.ENSP00000465992	8.01059946598268e-05
KIF1A	9606.ENSP00000438388	7.154549937825992e-05
KIF26A	9606.ENSP00000388241	0.00017590294539461489
KIF5A	9606.ENSP00000408979	0.0001936465771185623
TMED3	9606.ENSP00000299705	0.00013218476699497668
ACTR10	9606.ENSP00000254286	0.0002521294106782144
KIF20B	9606.ENSP00000360793	7.82600505863211e-05
DYNC1LI2	9606.ENSP00000258198	0.00030155019981381863
ARFIP2	9606.ENSP00000484121	1.2701880755513051e-05
TMED9	9606.ENSP00000330945	0.0001098976651971621
ANK1	9606.ENSP00000265709	0.00010337480371200757
ARF4	9606.ENSP00000306010	0.0001070735489982298
ASAP2	9606.ENSP00000281419	2.268838834051464e-05
CD55	9606.ENSP00000356030	7.027849941475607e-05
SPTAN1	9606.ENSP00000361824	0.00024161783882443744
RAB11A	9606.ENSP00000261890	0.0001351016613597589
KIF4B	9606.ENSP00000387875	0.00019770976390022244
KIF18A	9606.ENSP00000263181	0.00027887857664440587
KLC3	9606.ENSP00000375810	0.00018481363552441392
DCTN3	9606.ENSP00000259632	0.0002541876942186444
KIF19	9606.ENSP00000374566	6.213507896506349e-05
KIF23	9606.ENSP00000260363	0.00023361754150111105
BET1	9606.ENSP00000222547	0.00010749338089091064
KDELR1	9606.ENSP00000329471	0.00012915073536178768
ANK3	9606.ENSP00000280772	8.778905154098614e-05
DYNC1H1	9606.ENSP00000348965	0.0004163591957774721
SPTBN1	9606.ENSP00000349259	0.0001123790590527061
KIF5B	9606.ENSP00000307078	0.0002498259178279538
