gene_id	string_protein_id	propagate_score
ARF5	9606.ENSP00000000233	0.00013203490721648727
SPTBN2	9606.ENSP00000432568	0.00030868306790437177
KIF13B	9606.ENSP00000427900	8.565679597998407e-05
AP1B1	9606.ENSP00000350199	0.0002428618400065524
KIF21A	9606.ENSP00000354878	8.65380792448556e-05
TMED7	9606.ENSP00000405926	0.00017050509397435195
ARFGAP1	9606.ENSP00000314615	0.00015655327964312596
ANK2	9606.ENSP00000349588	0.00010810546445039208
KLC1	9606.ENSP00000414982	0.00028409254186588956
COPZ2	9606.ENSP00000480707	0.00016997725817851955
KIF15	9606.ENSP00000324020	0.0003104527178002404
DCTN5	9606.ENSP00000300087	0.00029012200951866946
KIF2B	9606.ENSP00000268919	0.00034067662057249805
KIF16B	9606.ENSP00000384164	8.19411185171803e-05
KIF25	9606.ENSP00000388878	8.306484154393296e-05
KDELR2	9606.ENSP00000258739	0.00015505728241967462
RAB1B	9606.ENSP00000310226	0.00022607996929100604
TMED10	9606.ENSP00000303145	0.00019305321706172525
KIF3B	9606.ENSP00000364864	0.00028440276465395745
RACGAP1	9606.ENSP00000404190	0.000328134665324581
SPTBN4	9606.ENSP00000263373	0.00011474654951468628
GBF1	9606.ENSP00000359000	0.0001303286875559714
DYNC1I2	9606.ENSP00000380308	0.000417321542486784
INS	9606.ENSP00000380432	0.0006480299824731872
CYTH3	9606.ENSP00000297044	1.8902831712137312e-05
CAPZB	9606.ENSP00000401010	0.00031551419062388086
RAB11FIP3	9606.ENSP00000262305	1.985808696596127e-05
ACAP2	9606.ENSP00000324287	2.9720031586842577e-06
KIF3C	9606.ENSP00000264712	0.0002819271624810272
DYNC1LI1	9606.ENSP00000273130	0.0003776093524074778
KIFAP3	9606.ENSP00000354560	0.00028498534674845896
COPA	9606.ENSP00000357048	0.00020847099632215538
YKT6	9606.ENSP00000223369	0.00016169768239592062
COPB1	9606.ENSP00000249923	0.000279587684903122
IQSEC1	9606.ENSP00000480301	1.7561597628921038e-05
KIF20A	9606.ENSP00000378356	0.00032642252872633126
SURF4	9606.ENSP00000361057	0.00015349590025695939
GGA1	9606.ENSP00000341344	3.469005825720198e-05
CDC5L	9606.ENSP00000360532	0.0003129528668250645
DYNC1I1	9606.ENSP00000320130	0.0003773492250390566
RAB1A	9606.ENSP00000387286	0.0002283900633888977
ACTR1A	9606.ENSP00000358921	0.00034243953076502323
CAPZA2	9606.ENSP00000354947	0.0003063151136727827
CAPZA1	9606.ENSP00000263168	0.0003184369202690637
CD59	9606.ENSP00000379191	0.0003013578692602879
SPTBN5	9606.ENSP00000317790	0.00011407762947837814
FOLR1	9606.ENSP00000377284	0.00012434185902763262
USO1	9606.ENSP00000444850	0.00012365148734461804
CENPE	9606.ENSP00000265148	0.00037582900779739673
KIFC1	9606.ENSP00000393963	0.00011358292399954352
KIF9	9606.ENSP00000333942	9.860052590598232e-05
KIF4A	9606.ENSP00000363524	0.00032570332936820626
KIF27	9606.ENSP00000297814	8.433517675152719e-05
ARF1	9606.ENSP00000440005	0.00038592092561421005
ARF3	9606.ENSP00000256682	0.00013818959191479278
KLC2	9606.ENSP00000399403	0.00027557179544134594
KIF21B	9606.ENSP00000411831	8.68326592466058e-05
DCTN4	9606.ENSP00000414906	0.0002833035122556265
KIF6	9606.ENSP00000287152	8.232421172043301e-05
KIF18B	9606.ENSP00000465992	9.961109662744481e-05
KIF1A	9606.ENSP00000438388	9.12719918508621e-05
KIF26A	9606.ENSP00000388241	0.00026021629608246824
KIF5A	9606.ENSP00000408979	0.00027838400477293087
TMED3	9606.ENSP00000299705	0.00017125880947404447
ACTR10	9606.ENSP00000254286	0.000338971346197608
KIF20B	9606.ENSP00000360793	9.780102723507656e-05
DYNC1LI2	9606.ENSP00000258198	0.0003780691276368893
ARFIP2	9606.ENSP00000484121	1.3328450261466116e-05
TMED9	9606.ENSP00000330945	0.0001403172828538118
ANK1	9606.ENSP00000265709	0.00011638322258187836
ARF4	9606.ENSP00000306010	0.0001340695231085182
ASAP2	9606.ENSP00000281419	2.353769699259855e-05
CD55	9606.ENSP00000356030	8.591535303925245e-05
SPTAN1	9606.ENSP00000361824	0.00026118562437470405
RAB11A	9606.ENSP00000261890	0.00013994627907521528
KIF4B	9606.ENSP00000387875	0.00028515151886121797
KIF18A	9606.ENSP00000263181	0.00035352293340115996
KLC3	9606.ENSP00000375810	0.00026985131302087776
DCTN3	9606.ENSP00000259632	0.00033900298805673553
KIF19	9606.ENSP00000374566	8.19411185171803e-05
KIF23	9606.ENSP00000260363	0.0003173120367839026
BET1	9606.ENSP00000222547	0.00013183685688902084
KDELR1	9606.ENSP00000329471	0.00016090187953235016
ANK3	9606.ENSP00000280772	0.00010336829501123913
DYNC1H1	9606.ENSP00000348965	0.0004942708735422189
SPTBN1	9606.ENSP00000349259	0.00012480599754805332
KIF5B	9606.ENSP00000307078	0.0003226926981527335
COPB2	9606.ENSP00000329419	0.00017636563433097866
DCTN6	9606.ENSP00000221114	0.00029371691475990185
ASAP1	9606.ENSP00000429900	3.646649872636511e-05
DCTN2	9606.ENSP00000408910	0.00036608280690959735
KIF11	9606.ENSP00000260731	0.00035278098193911717
TMED2	9606.ENSP00000262225	0.00018470261147750385
CYTH1	9606.ENSP00000354398	1.512557188803087e-05
KIF2C	9606.ENSP00000361298	0.0003872504172408494
ARCN1	9606.ENSP00000264028	0.000173266381654695
KIF1C	9606.ENSP00000320821	8.621093877858376e-05
DYNLL2	9606.ENSP00000477310	0.00041686759102095187
KIF1B	9606.ENSP00000263934	8.337613624602833e-05
SPTB	9606.ENSP00000451752	0.00011473793845825849
COPG2	9606.ENSP00000402346	0.00017947180292180796
KIFC2	9606.ENSP00000301332	8.246937513441471e-05
COPG1	9606.ENSP00000325002	0.00018022107305919207
ARFIP1	9606.ENSP00000395083	1.1507906447920016e-05
KIF26B	9606.ENSP00000385545	8.354179916601805e-05
CAPZA3	9606.ENSP00000326238	0.0002807616885855812
ACAP1	9606.ENSP00000158762	1.3470673965368616e-05
RAB11FIP4	9606.ENSP00000482620	8.622447353361418e-06
DYNLL1	9606.ENSP00000376297	0.0005611042959858302
ARFGAP2	9606.ENSP00000434442	0.00012157184804945892
KIF2A	9606.ENSP00000385000	0.0003485432746463482
KIF22	9606.ENSP00000160827	0.00028790742624714815
KIF12	9606.ENSP00000363232	8.19411185171803e-05
SEC22B	9606.ENSP00000463393	0.0001675077872896901
KLC4	9606.ENSP00000259708	0.0002676981808913668
ARFGAP3	9606.ENSP00000263245	0.00012852976063916505
ETFA	9606.ENSP00000452762	1.6017303496110082e-05
KDELR3	9606.ENSP00000386918	0.00015059998824640825
SPTA1	9606.ENSP00000357129	0.00011672671457270893
AP1G1	9606.ENSP00000377148	0.00024789351450010746
KIF3A	9606.ENSP00000385808	0.00029054528814479857
COPZ1	9606.ENSP00000449270	0.00017269255230963732
COPE	9606.ENSP00000262812	0.000175661783857462
DCTN1	9606.ENSP00000354791	0.00032507269737455533
M6PR	9606.ENSP00000000412	0.00021857230700042751
LDLRAP1	9606.ENSP00000363458	0.00018948061170507283
SH3GL2	9606.ENSP00000369981	0.0003940644168915407
STX10	9606.ENSP00000466298	3.679455834447104e-05
GCC2	9606.ENSP00000307939	3.196265403363623e-05
SYNJ2	9606.ENSP00000347792	0.00023736894436440485
APOB	9606.ENSP00000233242	0.0004086270268477644
HIP1R	9606.ENSP00000253083	0.00024609722274751745
FNBP1L	9606.ENSP00000271234	0.00019166162406215764
WASL	9606.ENSP00000223023	0.0003014376052839225
AP2A1	9606.ENSP00000351926	0.0004412854891419875
NSF	9606.ENSP00000381293	0.00013310221601743277
RAB5B	9606.ENSP00000353444	0.00022979413561617933
IGF2	9606.ENSP00000391826	0.00015044852688900087
SYT8	9606.ENSP00000371394	0.00018604400026900466
CTSZ	9606.ENSP00000217131	0.0001712695667503916
CD3G	9606.ENSP00000431445	0.0032032920866330718
AP2B1	9606.ENSP00000482835	0.00039450353195220195
UBC	9606.ENSP00000441543	0.0008199974547644428
SYT2	9606.ENSP00000356236	0.00020078373099348764
ITSN2	9606.ENSP00000347244	0.0002044514416274182
EPS15L1	9606.ENSP00000393313	0.00019576019082202632
PACSIN1	9606.ENSP00000484060	0.0001900476692389026
CD4	9606.ENSP00000011653	0.003075689168175637
AP1M2	9606.ENSP00000250244	0.00021736732429280108
SYNJ1	9606.ENSP00000409667	0.00023718398085270838
RAB9B	9606.ENSP00000243298	5.269767520587202e-05
AMPH	9606.ENSP00000348602	0.00019508766430768147
VPS51	9606.ENSP00000279281	2.9929174320400492e-05
UBQLN2	9606.ENSP00000345195	0.00015856314462274742
STAM2	9606.ENSP00000263904	0.0002719460851688228
ARPC5	9606.ENSP00000294742	0.00024369555467540014
TACR1	9606.ENSP00000303522	0.0002721146651968717
IL7R	9606.ENSP00000306157	0.0010403315941440198
DAB2	9606.ENSP00000313391	0.00019901547571542328
REPS2	9606.ENSP00000349824	0.0001862277462733988
STAM	9606.ENSP00000366746	0.00027151808675841615
STON1	9606.ENSP00000384615	0.00019120000333455758
RAB5C	9606.ENSP00000447053	0.000317679684607318
CFTR	9606.ENSP00000003084	0.00028403976918608113
SNX18	9606.ENSP00000317332	0.00018488395270370564
SYT9	9606.ENSP00000324419	0.00019000639000968847
FNBP1	9606.ENSP00000413625	0.00019091209890136375
KIF13A	9606.ENSP00000259711	7.802111520081578e-06
AP1S1	9606.ENSP00000336666	0.0002708682897808132
SLC18A3	9606.ENSP00000363229	0.0001996377869175787
AVP	9606.ENSP00000369647	0.0003155438377634096
DVL2	9606.ENSP00000005340	0.00030036261860227876
BIN1	9606.ENSP00000316779	0.0002047461691338508
NAPG	9606.ENSP00000324628	0.00010146057312555229
TRIP10	9606.ENSP00000320117	0.0002230589054939823
LRP2	9606.ENSP00000263816	0.00023061062651875004
CBL	9606.ENSP00000264033	0.000699599324624311
SH3KBP1	9606.ENSP00000380921	0.00027551079737660395
ADRB2	9606.ENSP00000305372	0.00027145766016766236
AP1S2	9606.ENSP00000444957	0.00022901790506811722
SYT11	9606.ENSP00000357307	0.00019259072702076756
GAK	9606.ENSP00000314499	0.00024100314041196113
VPS54	9606.ENSP00000272322	3.518385337144768e-05
REPS1	9606.ENSP00000392065	0.00019238434752329994
GNS	9606.ENSP00000258145	9.542391824595334e-05
NECAP1	9606.ENSP00000341737	0.00022631362426633037
STX16	9606.ENSP00000360183	5.669087622996409e-05
IGF2R	9606.ENSP00000349437	0.000252905590268766
FCHO1	9606.ENSP00000473001	0.0001712521030057393
EGFR	9606.ENSP00000275493	0.0016913667905196477
TFRC	9606.ENSP00000353224	0.00027164138804061254
AP2S1	9606.ENSP00000263270	0.0004186894060630346
CLTC	9606.ENSP00000479606	0.00043391935930985564
EPS15	9606.ENSP00000360798	0.0002177133225348055
SNX9	9606.ENSP00000376024	0.00022950629111085255
VTI1A	9606.ENSP00000376792	5.7421587566359754e-05
TF	9606.ENSP00000385834	0.0002884636546697757
GGA2	9606.ENSP00000311962	1.7824207895846965e-05
VPS53	9606.ENSP00000401435	3.706562660341166e-05
PICALM	9606.ENSP00000377015	0.0002484949154986299
PIK3C2A	9606.ENSP00000265970	0.00027491915038773307
AVPR2	9606.ENSP00000351805	0.00024134330878384396
LDLR	9606.ENSP00000454071	0.000208780599517869
VAMP7	9606.ENSP00000262640	0.00026820881236065106
WNT5A	9606.ENSP00000264634	0.0002699317501146191
NAPB	9606.ENSP00000482826	0.00011256075179578404
RAB5A	9606.ENSP00000273047	0.00027133895503235884
AP2M1	9606.ENSP00000292807	0.0004429504124500756
RABEPK	9606.ENSP00000362639	1.3919950781057287e-05
DNM3	9606.ENSP00000356705	0.0003461179225937362
RHOBTB3	9606.ENSP00000369318	1.1044005230295533e-05
SYT1	9606.ENSP00000261205	0.0002214254619546631
OCRL	9606.ENSP00000360154	0.00028552936003626726
VAMP8	9606.ENSP00000263864	0.0004686970107373689
ITSN1	9606.ENSP00000370719	0.00023639038381491638
UBB	9606.ENSP00000304697	0.0008170115682267767
ARPC1A	9606.ENSP00000262942	0.0002477881772978154
CLTA	9606.ENSP00000242285	0.0004099763127507655
HGS	9606.ENSP00000331201	0.0002280054662859785
UBA52	9606.ENSP00000388107	0.0008845437065923219
VAMP3	9606.ENSP00000054666	0.0002531910306001478
DNM2	9606.ENSP00000373905	0.0003988940529699894
AP2A2	9606.ENSP00000327694	0.0004211976482733477
EPN1	9606.ENSP00000406209	0.0001984239824258904
AAK1	9606.ENSP00000386456	0.00018964939879122935
VPS52	9606.ENSP00000409952	3.3602940527873195e-05
